Delphinus	-0.484224431	0.578954785	-0.499790303	0.561692066
Delphinus	-0.499790303	0.561692066	-0.501345639	0.579535248
Delphinus	-0.501345639	0.579535248	-0.490486953	0.597394265
Gemini	0.15643855	-0.78141964	0.122507311	-0.738008079
Gemini	0.122507311	-0.738008079	0.191256714	-0.665894704
Gemini	0.191256714	-0.665894704	0.231095442	-0.633925251
Gemini	0.231095442	-0.633925251	0.283616188	-0.578719603
Gemini	0.283616188	-0.578719603	0.266321529	-0.53826925
Gemini	0.266321529	-0.53826925	0.222871572	-0.508921835
Gemini	0.222871572	-0.508921835	0.211045274	-0.515221775
Gemini	0.211045274	-0.515221775	0.175462784	-0.547049257
Gemini	0.175462784	-0.547049257	0.121025215	-0.623831708
Gemini	0.121025215	-0.623831708	0.066781306	-0.664660363
Gemini	0.066781306	-0.664660363	0.043307613	-0.666689356
Hercules	0.0361732	0.402338527	0.008113039	0.49578816
Hercules	0.008113039	0.49578816	0.078459366	0.490752254
Hercules	0.078459366	0.490752254	0.097603017	0.491056756
Hercules	0.097603017	0.491056756	0.157758755	0.451013943
Hercules	0.157758755	0.451013943	0.161326262	0.410075205
Hercules	0.161326262	0.410075205	0.169828716	0.36309524
Hercules	0.169828716	0.36309524	0.193547059	0.36696528
Hercules	-0.0194505	0.591520441	0.005754286	0.58610795
Hercules	0.005754286	0.58610795	0.035700412	0.603128864
Hercules	0.035700412	0.603128864	0.07940833	0.618451551
Hercules	0.07940833	0.618451551	0.124625954	0.626775191
Hercules	0.124625954	0.626775191	0.145975587	0.547494828
Hercules	0.145975587	0.547494828	0.188193055	0.526205622
Hercules	0.188193055	0.526205622	0.260015189	0.629414565
Hercules	0.260015189	0.629414565	0.295198231	0.647129736
Hercules	0.260015189	0.629414565	0.15257125	0.760665212
Hercules	0.097603017	0.491056756	0.145975587	0.547494828
Hercules	0.157758755	0.451013943	0.188193055	0.526205622
Hydra	0.624324385	-0.649997815	0.615819257	-0.713328595
Hydra	0.615819257	-0.713328595	0.60240313	-0.72592026
Hydra	0.60240313	-0.72592026	0.574646143	-0.699274569
Hydra	0.574646143	-0.699274569	0.594490229	-0.667436625
Hydra	0.594490229	-0.667436625	0.624324385	-0.649997815
Hydra	0.624324385	-0.649997815	0.720271405	-0.635283991
Hydra	0.720271405	-0.635283991	0.835272205	-0.585678987
Hydra	0.835272205	-0.585678987	0.915791247	-0.718179612
Hydra	0.915791247	-0.718179612	1.100535443	-0.69125712
Hydra	1.100535443	-0.69125712	1.10378334	-0.604825477
Hydra	1.10378334	-0.604825477	1.103772818	-0.571021756
Hydra	1.103772818	-0.571021756	1.235837271	-0.536823103
Hydra	1.235837271	-0.536823103	1.26941265	-0.402579811
Hydra	1.26941265	-0.402579811	1.786310767	-0.211423812
Hydra	1.786310767	-0.211423812	1.876190823	-0.058142232
Hydra	1.876190823	-0.058142232	1.426786837	0.511683224
Hydra	1.426786837	0.511683224	1.38141037	0.849572394
Leo	0.746258898	-0.151037031	0.679559176	-0.137949117
Leo	0.679559176	-0.137949117	0.772396544	-0.036931969
Leo	0.772396544	-0.036931969	0.746258898	-0.151037031
